id,date_created,response_status,funded_past_3_yrs,applied_not_funded,org_role,org_role_other_txt,primary_focus,primary_focus_other_txt,postal_code,purpose,confident_in_mac_ability,deadline_comms,guidelines_comms,manipogo,trasparent_granting,response_enquiries,response_results,feedback,complaints_process,improve,connection_to_arts_community,disconnect_explain_txt,rank_advocacy,rank_measure_impact,rank_board_trg,rank_financial_trg,rank_leadership_trg,rank_shared_services,rank_loan_access,rank_networking,rank_marketing,future_impact_txt,comments_txt,funded_status,role_grouped,fsa,.row_id,region,location
118986402334,2025-10-28,completed,No,No,Missing,Tourism Marketing,Missing,tourism,R3C4T7,Funder for the arts and culture sector,Confident,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Connected,NA,1,3,8,7,9,4,6,5,2,helped build a broader awareness of Manitoba's arts and culture sector within Manitoba. helped support new and vibrant sustainable arts orgs not only in Wpg but in rural and northern communities.,We welcome the opportunity for continued collaboration on initiatives that positively impact the arts and culture sector in Manitoba. Thank you!,"Did not apply, not funded",NA,R3C,11,Capital Region,Winnipeg Area
118986385191,2025-10-28,completed,Yes,Yes,Individual Artist,NA,Visual Arts,NA,R3M0Z5,To fund artists and artistic projects. To mediate and advocate for government funding.,Confident,Good,Fair,Good,Poor,Fair,Poor,Poor,Don't know,"Secure more funding. I have received multiple grants over the years, and been declined too - but any time I consulted with an officer, I didn’t get funding. ",Disconnected,"They stopped funding galleries for many years, that created a big gap in the capacity of them to open.",Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,N/A,NA,Funded,Individual,R3M,12,Capital Region,Winnipeg Area
118986381597,2025-10-28,completed,Yes,No,Individual Artist,NA,Visual Arts,NA,R3G2E3,To support excellence.,Confident,Excellent,Excellent,Good,Fair,Good,Fair,Good,Good,Fund more artists. ,Connected,NA,2,6,3,4,7,8,5,1,9,MAC has been able to fund a higher percentage of applicants. ,"In many of the grants, there is a section about cultural integrity, and jurors are asked to rate the applicants' response. If an applicant's work doesn't touch on that issue at all, and they leave it blank, they are penalized (in that they don't get any points). This is not fair. ",Funded,Individual,R3G,13,Capital Region,Winnipeg Area
118986360526,2025-10-28,completed,Yes,Don't know,Arts/Cultural Organization,NA,Theatre,NA,R3B3H6,Financially support Manitoba's arts community. ,Confident,Excellent,Excellent,Good,Fair,Excellent,Good,Good,Don't know,NA,Connected,NA,3,1,6,5,4,8,9,2,7,Funding has increased. Arts attendance has increased. Artists and arts workers are healthier mentally and physically. ,NA,Missing,Organization,R3B,14,Capital Region,Winnipeg Area
118986314244,2025-10-28,completed,No,No,Individual Artist,NA,Visual Arts,NA,R2H3H5,To support Manitoba artists,Confident,Excellent,Excellent,Excellent,Excellent,Don't know,Good,Fair,Don't know,Provide grant writing mentorships,Connected,NA,4,2,7,6,5,1,9,8,3,"More of the same, especially in schools and marinalized communities and groups.",NA,"Did not apply, not funded",Individual,R2H,15,Capital Region,Winnipeg Area
118986294829,2025-10-28,completed,Yes,No,Individual Artist,NA,Missing,Bande dessinée: art visuel et art littéraire,R5J0B9,"Support des artistes professionels au Manitoba
Support des organismes artistiques professionels au Manitoba 
Encourager la production artistique de qualité professionelle au Manitoba",Confident,Good,Good,Fair,Good,Good,Poor,Poor,Fair,Un soutien de base pour les artistes professionnels et seniors,Connected,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing," Créer une application plus facile, avec un retour de réponse plus rapide.  Créer une espace dans l'application pour la Bande dessinée (ou Roman graphique). La BD est un art en pleine croissance, hybride entre littérature et art visuel, mais qui est en manque de considération sérieuse. Une catégorie spécifique pour la bande dessinée encouragerait au Manitoba la création artistique dans cet art.","Que les arts de styles traditionnels soient donnés autant de considération que l'art de styles dits ''abstrait ''ou  ''moderne'' ou ""contemporain''. Dans le mandat que l'on donne aux jurés, il doit être claire que la qualité expressive de l'oeuvre et son excellence technique doivent peser dans la balance et être considérés importants, autant que son aspect ''original'' ou ''jamais-vu'' ou ''controversé'' qualités qui ne sont pas nécessairement méritoire artistiquement. Il y a plusieurs écoles de pensée en art et le Conseil se doit de supporter l'art en général, et non seulement suivre le style du temps présent, se conformer au goût du jour. 
",Funded,Individual,R5J,16,Eastman,Outside Wpg
118986219822,2025-10-28,completed,Don't know,Don't know,Individual Artist,NA,Visual Arts,NA,ROAOC1,Supporting artists and the arts and knowing where and what the artists are working on etc. strengthening the artists and communities with support . Aiding and understanding the artists who desire to contribute to improving peoples lives with art. Helping all artists achieve success! Financial support to artists and communities. ,Not very confident,Good,Poor,Poor,Poor,Don't know,Don't know,Don't know,Don't know,See above #6,Disconnected,Feels like you only care about indigenous artists . ,1,2,3,4,5,6,7,8,9,NA,NA,Missing,Individual,ROA,17,NA,Outside Wpg
118986186476,2025-10-28,completed,Don't know,Don't know,Individual Artist,NA,Literary Arts,NA,R3X0C9,To provide support and open doors for Manitoba based artists and knowledge keepers,Confident,Excellent,Excellent,Good,Good,Good,Fair,Good,Good,Receipt of grant results quicker would be helpful so artists are able to plan their following year and budgets ,Connected,NA,2,1,9,8,7,5,3,4,6,"More of the same, more focus on providing financial support to artists and grant responses in a timely manner ",NA,Missing,Individual,R3X,18,Capital Region,Winnipeg Area
118986154858,2025-10-28,completed,Yes,No,Arts/Cultural Organization,NA,Theatre,NA,R3B3H6,To support and promote the arts and artists in Manitoba,Very confident,Excellent,Excellent,Good,Excellent,Excellent,Good,Don't know,Don't know,Perhaps some more fast turnaround funding for special opportunities that pop up for an organization.  ,Very connected,NA,4,5,6,2,3,1,9,7,8,More of the same.,NA,Funded,Organization,R3B,19,Capital Region,Winnipeg Area
118986129646,2025-10-28,partial,No,Yes,Individual Artist,NA,Visual Arts,NA,R1N0Z7,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,Missing,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,"Applied, not funded",Individual,R1N,20,Central Plains,Outside Wpg
118986124705,2025-10-28,partial,No,No,Individual Artist,NA,Visual Arts,NA,R1N0Z7,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,Missing,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,"Did not apply, not funded",Individual,R1N,21,Central Plains,Outside Wpg
118986091832,2025-10-27,completed,Missing,Don't know,Individual Artist,NA,Music,NA,R3V1S1,Supporting Manitoba music artists,Confident,Good,Fair,Fair,Don't know,Good,Don't know,Good,Don't know,Simplify application portal and procedures,Connected,NA,1,2,8,4,7,6,9,3,5,NA,NA,Missing,Individual,R3V,22,Capital Region,Winnipeg Area
118986077127,2025-10-28,completed,Yes,No,Individual Artist,NA,Missing,Combination of literary and visual,R7A2V7,To help artists reach their goals in a financial way. ,Very confident,Good,Fair,Good,Good,Excellent,Good,Excellent,Good,"The eligibility requirements for artists could be softened a bit, just so it’s more representative of all kinds of artists. ",Very connected,NA,1,2,7,5,6,8,9,3,4,I imagine more indigenous based artists applying to the program and having their art known to the public. I imagine a province that is brimming with a multitude of talented artists all expressing themselves creatively. That we have more exhibitions and showcases for artists to display their work. ,More awareness through social media and marketing would be ideal so that way people know of deadlines and opportunities MAC is offering. ,Funded,Individual,R7A,23,Westman,Outside Wpg
118986050004,2025-10-28,completed,No,No,Arts/Cultural Organization,NA,Visual Arts,NA,R3C1V1,MAC supports the arts and artists in Manitoba through funding.,Confident,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Don't know,Don't know," Allow organizations that directly or indirectly receive ongoing funding from the Department of Sport, Culture and Heritage to be eligible for grants. Possibly limit the types of grants to ensure these organizations don't take up a disproportionate amount of funding.",Very connected,NA,3,4,1,7,2,6,9,5,8,NA,NA,"Did not apply, not funded",Organization,R3C,24,Capital Region,Winnipeg Area
118985802048,2025-10-28,completed,Yes,Yes,Community-based Organization,NA,Music,NA,R0J1B0,To support and encourage the exposure to arts and culture in Manitoba communities. ,Confident,Excellent,Good,Good,Good,Excellent,Good,Excellent,Excellent,Shorten the application. ,Very connected,NA,1,2,6,7,8,3,9,5,4,Arts and culture are thriving and being shared in urban and rural Manitoba. Local artisans and artists are able to perform and create freely in their own communities. ,Thanks for recognizing that rural and remote regions may require assistance. ,Funded,Organization,R0J,25,Westman,Outside Wpg
118985801315,2025-10-28,completed,Yes,No,Individual Artist,NA,Craft,NA,R8N0K9,To support the growth of the arts in Manitoba ,Confident,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't know,Having events in the North to support northern artists in applying for grants ,Connected,NA,3,5,9,4,8,1,6,2,7,I’ve been happy with the grants I’ve been accessing and would love to see it continue ,No,Funded,Individual,R8N,26,Norman,Outside Wpg
118985794964,2025-10-28,completed,Yes,No,Teacher,NA,Visual Arts,NA,R0M0Y0,"to encourage, nurture and help support emerging and professional artists and their work",Confident,Excellent,Excellent,Don't know,Don't know,Excellent,Good,Excellent,Don't know,"Over the past nearly 20 years, I've felt my MAC funded work as an itinerate 'art teacher' deeply satisfying and, applauded. When/if an application was declined, the feedback was fair and constructive. I've not been working in schools in recent years, but at the time, there wasn't a lot of awareness of MAC's grant opportunities so teachers were very pleased to discover they could get a grant for a project.  That situation was great for me in providing a special (visual) art program,  but, unfortunately students needed to grow through continuous and developmental arts programs... so, I often found myself wishing that for them. At that time I wondered how this could be encouraged and how MAC could help to facilitate it.",Connected,NA,7,1,2,3,4,5,6,8,9,"Perhaps a coalition of young and old artists will have emerged. Senior artists, those who have survived and remained creative, will have found ways to cultivate endurance in young people. And, inspired young people will cultivate endurance in senior artists?","I hope that we find ways to continue experiencing the local, its geology, seasons, history, natural and human resources.   ",Funded,Individual,R0M,27,Westman,Outside Wpg
118985784428,2025-10-28,completed,Yes,Yes,Collective / Group of Artists,NA,Dance,NA,R3L1G9,support artists and arts organizations in Manitoba in projects and stablility,Not very confident,Excellent,Good,Good,Good,Excellent,Fair,Fair,Don't know,have more funds to share,Disconnected,"It is very hard for individual artists to receive funding, therefore it is very hard for individual artists practices to be supported financially.  This means we can spend less and less time making meaningful art and growing in our practices and disciplines. When we are supported there are usually not enough funds to pay everybody and we end up paying ourselves not well. Also, there is A LOT of unpaid work in running an artistic project - eg research, admin, outreach.",2,6,8,4,7,3,9,1,5,Basic income for artists. (I know many artists whose work thrived when they were able receive CERB.) When our basic needs are met we can create. I know many artists living in poverty. Healthy artistic communities do not thrive this way. ,Thanks for all your work. We really appreciate it.,Funded,Organization,R3L,28,Capital Region,Winnipeg Area
118985768210,2025-10-28,completed,No,Yes,Missing,theatre festival producer,Theatre,NA,R3L1N1,Support artists in Manitoba,Not at all confident,Good,Good,Good,Poor,Good,Fair,Fair,Good,More transparacy in grant decision making process.,Connected,NA,4,5,9,3,8,2,7,6,1,More outreach to remote and rural areas of the province. ,NA,"Applied, not funded",NA,R3L,29,Capital Region,Winnipeg Area
118985750119,2025-10-28,completed,No,Yes,Individual Artist,NA,Theatre,NA,R3G2C4,To fund worthy artistic endeavours,Not very confident,Good,Good,Excellent,Poor,Good,Good,Poor,Don't know,Stop being an agent for social change and make artistic merit the primary criterion for awarding grants. A look at the questions asked on applications will demonstrate what I mean. I will not be ranking the next section because it is beyond me.,Connected,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,See my response to #9,See my response to #9,"Applied, not funded",Individual,R3G,30,Capital Region,Winnipeg Area
118985747597,2025-10-28,partial,No,No,Individual Artist,NA,Visual Arts,NA,R6W2P1,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,Missing,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,"Did not apply, not funded",Individual,R6W,31,Pembina Valley,Outside Wpg
118985724119,2025-10-28,completed,Yes,Yes,Collective / Group of Artists,NA,Inter-arts,NA,R3C1Y1,"D'appuyer la recherche, la création et l'épanouissement des arts à travers les disciplines au Manitoba.",Confident,Excellent,Good,Good,Excellent,Excellent,Fair,Good,Don't know,Raccourcir le délai de réponse pour ces subventions et/ou ajouter des dates butoirs pour les grands programmes. ,Connected,NA,1,5,9,6,8,3,2,4,7,"Continue à trouver des moyens d'appuyer de diverses initiatives collectives de la communauté et des artistes sans les obliger à créer des structures administratives complexes. 

Continue à structurer ses programmes de manière solidaire avec les artistes.",NA,Funded,Organization,R3C,32,Capital Region,Winnipeg Area
118985671763,2025-10-27,completed,Yes,Yes,Arts/Cultural Organization,NA,Visual Arts,NA,R0E1V0,To assist cultural organizations in fullfilling their mandates,Not very confident,Poor,Poor,Poor,Good,Good,Good,Good,Fair,"Clear up the differences between art galleries and art & history museums ta
hat have an art gallery for funding purposes",Disconnected,Revamping the exisiting definitions for granting purposes and MAC's mandate,2,1,3,4,5,6,7,8,9,Opened up the granting guidelines and offered up assistance to rural areas,NA,Funded,Organization,R0E,33,Interlake,Outside Wpg
118985617237,2025-10-27,completed,No,No,Missing,Venue and programmer,Missing,all,R3C1A2,"to provide grant funding to artists and arts organizations in Manitoba, to ensure artistic experiences are available for all Manitobans ",Confident,Excellent,Excellent,Don't know,Don't know,Excellent,Don't know,Don't know,Don't know,build capacity for newer orgs to find success,Very connected,NA,2,1,4,5,3,8,6,9,7,"MAC has ways to fund more upstart orgs and arts companies, which in turn will build new and larger audiences. ",NA,"Did not apply, not funded",NA,R3C,34,Capital Region,Winnipeg Area
118985603974,2025-10-27,completed,No,No,Individual Artist,NA,Visual Arts,NA,R0E0C0,"To support an artist's journey, to fairly evaluate their merit when they apply for grants. Having judges that meet the expertise needed to judge the medium the artist is practicing in, even though it means going out of province to find a judge that meets that criteria. ",Not very confident,Excellent,Fair,Excellent,Fair,Good,Good,Good,Don't know,"Having an artist submit images of their final work, sketches, ideas, anything,  after their project is finished, it would be part of the finalization process which includes the budget etc... Why not? I've had a couple of grants in the past and was very surprised that this was not asked mandatory.",Connected,NA,1,2,5,6,4,7,8,3,9,NA,NA,"Did not apply, not funded",Individual,R0E,35,Eastman,Outside Wpg
118985560191,2025-10-27,completed,Yes,Yes,Individual Artist,NA,Theatre,NA,R3G0W6,To support arts and culture in Manitoba through funding the creation and sharing of art by Manitoba artists.,Confident,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Don't know,"Speaking as an artist working primarily in theatre, the arts community would be much better supported if a significant amount of funding was shifted out of Operating and into Create and Present funding. It seems completely lopsided, for example, for RMTC as a single organization with a large donor base to receive over $100,000 more than all individual artists and groups in the province receive in Create funding annually. As costs go up, organizations receiving operating funding are leaning more and more on individual artists to fund creation, research, and development, while receiving almost 10x the provincial funding available to those individual artists. I strongly believe that arts and culture in Manitoba would be significantly improved and made more sustainable by a restructuring of funding that more equitably supported the individual artists who actually create the work these larger organizations present. I believe that, were more funding allocated to individual artists, there would me more art made and shared in the province, that work would be more diverse and more accessible to audiences, and Manitoba would, over time, see a higher national and international profile as a hub of arts and culture.",Connected,NA,1,3,8,7,4,5,9,2,6,"I believe that MAC could have a more significant impact on the arts and cultural community by redirecting funds from operating grants for large organizations into individual artists and small artist run centres. MAC also has the power to hold large organizations accountable to their communities by requiring more equitable practices in order to maintain Operating funding. That, for example, the RWB has maintained such a large amount of provincial funding through their many failures to provide safe working conditions and the resignation of their Indigenous advisory board shows a lack of accountability to the community that public funding should uphold. I hope that in 10 years Manitoba will have a stronger, healthier arts community where artists are able to make a living wage year round.","I appreciate all of MAC's work so much, I am so thankful to have such an honest, open, generous, and forward thinking staff to communicate with.",Funded,Individual,R3G,36,Capital Region,Winnipeg Area
118985549726,2025-10-27,completed,Yes,Yes,Arts/Cultural Organization,NA,Music,NA,R3N2B3,to provide funding for diverse programming in Manitoba that enriches the lives of Manitoba,Confident,Excellent,Excellent,Good,Good,Excellent,Fair,Fair,Fair,Quicker grant responses ,Connected,NA,1,9,5,4,6,7,8,2,3,Less need for funding as the government has understood how important it is to fund the arts,Keep being persistent with the government,Funded,Organization,R3N,37,Capital Region,Winnipeg Area
118985546816,2025-10-27,partial,No,Yes,Individual Artist,NA,Craft,NA,R2H1K2,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,Missing,NA,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,NA,NA,"Applied, not funded",Individual,R2H,38,Capital Region,Winnipeg Area
118985533644,2025-10-27,completed,Yes,No,Arts/Cultural Organization,NA,Theatre,NA,R3C4X1,"To fund arts and culture in the province of Manitoba, at arms length to provincial government.",Very confident,Excellent,Good,Good,Excellent,Excellent,Good,Fair,Excellent,"Active advocacy for increased budget allocations from Province and/or communications to arts and culture sector (to arts and cultural community at large would be nice, but definitely to those actively working in the sector) as to actions taken and planned.",Connected,NA,2,1,3,6,9,4,7,5,8,"MAC is funded in provincial budgets to at least $25million annually  and have successfully advocated for the Province to implement an 'arts on prescription' model, in collaboration with the provincial department of health with significant buy in from physicians/health care professionals, the public, and arts and culture organizations thanks to robust communications strategies on community and individual benefits. ",NA,Funded,Organization,R3C,39,Capital Region,Winnipeg Area
118985533347,2025-10-27,completed,Yes,No,Individual Artist,NA,Music,NA,R2H3H4,To help artists move ahead with artistic projects.,Not very confident,Good,Good,Good,Fair,Good,Fair,Good,Good,Provide more assistance to the creative category.,Connected,NA,1,2,4,3,5,9,6,7,8,Not be too caught up with trends and demographics but more attention to artistic merit of the applicant and their respective talent and studies.,Alot less money to individual artists and thus have enough to spread to more people who deserve and merit it.,Funded,Individual,R2H,40,Capital Region,Winnipeg Area
118985532859,2025-10-27,completed,Yes,Yes,Individual Artist,NA,Theatre,NA,R2E0H5,"To fund the development and dissemination of artistic practices, projects, and organizations in Manitoba",Confident,Good,Excellent,Good,Fair,Excellent,Fair,Good,Don't know,"A disproportionate amount of money feels like it is going to large arts organizations that employ large numbers of salaried administrators (including dedicated fundraising and patron staff) while simultaneously undercutting freelance artists through unfair contract negotiations and limited contract work. I think this really limits both the feasibility of freelance artists to have a career, as well as the public's perception of what ""art"" in Manitoba could mean. It feels like there are brief glimmers--an extraordinary ARC gallery show, a self-produced experimental theatre show, a night like Nuit Blanche--where a future of work that embraces imagination, diversity of practice, and 'non-commercial' aesthetics feels possible in Manitoba, and I just wish it felt like that year-round. I wish independent artists were better resourced to make their careers, livelihoods, and artistic visions a reality. Large arts organizations have access to resources in terms of funding streams independent artists simply don't--including one-off federal cash infusions as we've seen in the prairies over the last couple of years. Concretely, I wish that less council money went to these organizations, and more money went, specifically, towards Explore and Create, and Present grants, as I believe these are the MAC programs that are best suited to supporting artists in their day-to-day practices and lives, as well as the broader Manitoba public's experience of art in our province. ",Connected,NA,1,3,7,5,6,4,8,9,2,"Successfully advocated for increases in provincial funding--as well as changes to internal financial allocations--that significantly improve the amount of resources independent artists receive. Ultimately I believe that independent artists are the heartbeat of what makes culture local, vibrant, and communal--large arts organizations are at their best when they are following the lead of artists. In 10 years time, I hope that MAC's work has become more aligned with this reality.",NA,Funded,Individual,R2E,41,Capital Region,Winnipeg Area
118985532224,2025-10-27,completed,Yes,No,Individual Artist,NA,Literary Arts,NA,R3G1X1,To support Manitoba artists,Confident,Excellent,Good,Good,Good,Excellent,Fair,Missing,Don't know,NA,Connected,NA,8,9,3,4,5,6,7,1,2,NA,NA,Funded,Individual,R3G,42,Capital Region,Winnipeg Area
118985515822,2025-10-27,completed,No,Yes,Student of the Arts,NA,Theatre,NA,R3M1G7,To help artists in Manitoba by giving out grants to those who successfully apply. ,Confident,Good,Fair,Good,Fair,Excellent,Fair,Fair,Good,"Making MAC more student friendly. I didn't know this was a thing till I had a workshop on it, and I've only learned tips and tricks from talking with Artists who have had more experience. 
It's hard to attend MAC workshops while I'm in school full time. It's also hard to know weather an independent, outside of school project (example: putting on a fringe show) is applicable for a grant, when the grant states it's not for students. ",Connected,NA,1,2,7,4,5,3,6,8,9,"I think offering small grants to emerging artists would be helpful. Example, I would like to do a fringe show this year. If I win the lottery, I will have to pay about $800 for a tec and venue. If I could apply for a grant and only pay for 3/4 or half of that, that would elevate so much financial stress! Small grants of $50 to $800 would significantly change what I'm able to do with my art !","I know a lot of artists who go to school for art or theater or film, but then need to change professions cause they can't find work or they can't fund independent projects. 
Small grants would really help out these artists be able to cover rent for a month while writing a show or pay for food while they're in between gigs. Or buy a tablet to start teaching themselves graphic design to better market their talents or company. ","Applied, not funded",Individual,R3M,43,Capital Region,Winnipeg Area
